level,pattern,category,subcategory,confidence,documentation_key,notes
class,com.google.android.gms.location.LocationServices,Location,Fused Location,VERY_HIGH,,
class,com.google.android.gms.location.GeofencingClient,Location,Geofencing,VERY_HIGH,,
class,com.google.android.gms.ads.identifier.AdvertisingIdClient,Advertising ID,Tracking,VERY_HIGH,,
class,com.google.android.gms.auth.api.signin.GoogleSignInClient,Authentication,Google Sign-In,VERY_HIGH,,
class,com.google.android.gms.nearby.messages.Nearby,Nearby Devices,Messages,VERY_HIGH,,
class,com.google.android.gms.nearby.connection.Connections,Nearby Devices,Connections,VERY_HIGH,,
class,com.google.android.gms.fitness.Fitness,Health & Fitness,Fitness API,VERY_HIGH,,
class,com.google.android.gms.code.scanner.GmsBarcodeScanner,Camera,Barcode Scanner,VERY_HIGH,,
class,android.media.projection.MediaProjectionManager,Screen Capture,Projection,VERY_HIGH,,
class,android.app.AppOpsManager,Package Manager,Permission Operations,VERY_HIGH,,
class,android.telephony.SubscriptionManager,Device Identifiers,SIM Info,VERY_HIGH,,
class,android.net.wifi.WifiInfo,Connectivity,WiFi Details,VERY_HIGH,,
class,android.bluetooth.BluetoothDevice,Bluetooth,Device Info,VERY_HIGH,,
class,android.provider.ContactsContract,Contacts,Provider,VERY_HIGH,,
class,android.provider.CallLog,Call Logs,Provider,VERY_HIGH,,
class,android.provider.CalendarContract,Calendar,Provider,VERY_HIGH,,
class,android.os.Build,Device Identifiers,Serial Number,VERY_HIGH,,
class,android.provider.Settings,Device Identifiers,System Settings,VERY_HIGH,,
class,android.hardware.usb.UsbManager,Connectivity,USB Access,VERY_HIGH,,
method,android.telephony.TelephonyManager.getDeviceId,Device Identifiers,IMEI,VERY_HIGH,,
method,android.telephony.TelephonyManager.getImei,Device Identifiers,IMEI,VERY_HIGH,,
method,android.telephony.TelephonyManager.getSubscriberId,Device Identifiers,IMSI,VERY_HIGH,,
method,android.telephony.TelephonyManager.getSimSerialNumber,Device Identifiers,ICCID,VERY_HIGH,,
method,android.location.LocationManager.getLastKnownLocation,Location,GPS,VERY_HIGH,,
method,android.location.LocationManager.requestLocationUpdates,Location,GPS,VERY_HIGH,,
method,android.hardware.camera2.CameraManager.openCamera,Camera,Camera2,VERY_HIGH,,
method,android.media.MediaRecorder.start,Microphone,Recording,VERY_HIGH,,
method,android.media.AudioRecord.startRecording,Microphone,Recording,VERY_HIGH,,
method,com.google.android.gms.ads.identifier.AdvertisingIdClient.getAdvertisingIdInfo,Advertising ID,Tracking,VERY_HIGH,,
method,android.os.Build.getSerial,Device Identifiers,Serial Number,VERY_HIGH,,
method,android.content.pm.PackageManager.getInstalledPackages,Package Manager,Installed Packages,VERY_HIGH,,
keyword,ANDROID_ID,Device Identifiers,Android ID,MEDIUM,,
keyword,IMEI,Device Identifiers,IMEI,MEDIUM,,
keyword,IMSI,Device Identifiers,IMSI,MEDIUM,,
keyword,ICCID,Device Identifiers,ICCID,MEDIUM,,
keyword,MEID,Device Identifiers,MEID,MEDIUM,,
keyword,MAC_ADDRESS,Device Identifiers,MAC Address,MEDIUM,,
keyword,SERIAL,Device Identifiers,Serial Number,MEDIUM,,
keyword,LATITUDE,Location,GPS,MEDIUM,,
keyword,LONGITUDE,Location,GPS,MEDIUM,,
